,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,return_on_investment,year,movie_id,primary_title,original_title,runtime_minutes,genres,averagerating,numvotes,runtime,Horror,month
1133,49,2017-02-24,Get Out,5000000,176040665,255367951,51.0735902,2017,tt5052448,Get Out,Get Out,104.0,"Horror,Mystery,Thriller",7.7,400474,sweet spot,True,2
1135,51,2011-10-21,Paranormal Activity 3,5000000,104028807,207039844,41.4079688,2011,tt1778304,Paranormal Activity 3,Paranormal Activity 3,83.0,"Horror,Mystery,Thriller",5.8,85689,under,True,10
1136,54,2016-03-11,10 Cloverfield Lane,5000000,72082999,108286422,21.6572844,2016,tt1179933,10 Cloverfield Lane,10 Cloverfield Lane,103.0,"Drama,Horror,Mystery",7.2,260383,sweet spot,True,3
1139,58,2017-10-13,Happy Death Day,5000000,55683845,125010260,25.002052,2017,tt5308322,Happy Death Day,Happy Death Day,96.0,"Horror,Mystery,Thriller",6.5,87132,sweet spot,True,10
1140,59,2012-10-19,Paranormal Activity 4,5000000,53900335,142817992,28.5635984,2012,tt2109184,Paranormal Activity 4,Paranormal Activity 4,88.0,"Horror,Mystery,Thriller",4.6,58408,under,True,10
1141,60,2014-10-24,Ouija,5000000,50856010,103300632,20.6601264,2014,tt1204977,Ouija,Ouija,89.0,"Horror,Mystery,Thriller",4.5,44054,under,True,10
1144,70,2014-01-03,Paranormal Activity: The Marked Ones,5000000,32462372,90904854,18.1809708,2014,tt2473682,Paranormal Activity: The Marked Ones,Paranormal Activity: The Marked Ones,84.0,"Horror,Mystery,Thriller",5.0,37147,under,True,1
1145,72,2014-04-11,Oculus,5000000,27695246,44115496,8.8230992,2014,tt2388715,Oculus,Oculus,104.0,"Horror,Mystery",6.5,106906,sweet spot,True,4
1148,76,2015-02-27,The Lazarus Effect,5000000,25801570,38359310,7.671862,2015,tt2918436,The Lazarus Effect,The Lazarus Effect,83.0,"Horror,Mystery,Sci-Fi",5.2,37675,under,True,2
1150,79,2018-03-09,The Strangers: Prey at Night,5000000,24431472,29960051,5.9920102,2018,tt1285009,The Strangers: Prey at Night,The Strangers: Prey at Night,85.0,Horror,5.2,21614,under,True,3
1154,94,2011-09-02,Apollo 18,5000000,17686929,26517819,5.3035638,2011,tt1772240,Apollo 18,Apollo 18,86.0,"Horror,Mystery,Sci-Fi",5.2,51427,under,True,9
1157,4,2017-06-09,It Comes at Night,5000000,13985117,19720203,3.9440406,2017,tt4695012,It Comes at Night,It Comes at Night,91.0,"Horror,Mystery",6.2,69039,under,True,6
1160,21,2017-03-17,The Belko Experiment,5000000,10166820,11792942,2.3585884,2017,tt1082807,The Belko Experiment,The Belko Experiment,89.0,"Horror,Thriller",6.1,38378,under,True,3
1164,39,2016-12-02,Incarnate,5000000,4799774,9371036,1.8742072,2016,tt3216348,Incarnate,Incarnate,91.0,"Horror,Thriller",5.3,10217,under,True,12
1166,46,2016-04-15,Green Room,5000000,3220371,3807503,0.7615006,2016,tt4062536,Green Room,Green Room,95.0,"Horror,Music,Thriller",7.0,90773,sweet spot,True,4
1177,81,2015-05-15,Area 51,5000000,7556,7556,0.0015112,2015,tt1519461,Area 51,Area 51,91.0,"Horror,Sci-Fi,Thriller",4.2,11537,under,True,5
1189,4,2012-08-17,The Awakening,4900000,95933,6924321,1.4131267346938776,2012,tt1373405,The Awakening,The Awakening,83.0,"Horror,Thriller",2.4,141,under,True,8
1191,9,2011-09-30,Take Shelter,4750000,1728953,4972016,1.0467402105263157,2011,tt1675192,Take Shelter,Take Shelter,121.0,"Drama,Horror,Thriller",7.4,83200,over,True,9
1197,47,2015-05-08,Maggie,4500000,187112,1027760,0.2283911111111111,2015,tt1881002,Maggie,Maggie,95.0,"Drama,Horror",5.6,38671,sweet spot,True,5
1200,55,2013-06-25,Hansel & Gretel Get Baked,4500000,0,0,0.0,2013,tt2081194,Hansel & Gretel Get Baked,Hansel & Gretel Get Baked,86.0,"Comedy,Horror",4.3,3225,under,True,6
1207,81,2015-01-23,The Boy Next Door,4000000,36006065,53401938,13.3504845,2015,tt3181822,The Boy Next Door,The Boy Next Door,91.0,"Horror,Thriller",4.7,34816,under,True,1
1210,90,2013-03-01,The Last Exorcism Part II,4000000,15179303,25448707,6.36217675,2013,tt2034139,The Last Exorcism Part II,The Last Exorcism Part II,88.0,"Drama,Horror,Thriller",4.0,15124,under,True,3
1211,98,2016-05-13,The Darkness,4000000,10753574,10898293,2.72457325,2016,tt1878841,The Darkness,The Darkness,92.0,"Horror,Thriller",4.4,12435,under,True,5
1214,22,2011-09-23,Red State,4000000,1065429,1983596,0.495899,2011,tt0873886,Red State,Red State,88.0,"Action,Crime,Horror",6.2,59266,under,True,9
1223,47,2011-04-22,Stake Land,4000000,33245,679482,0.1698705,2011,tt1464580,Stake Land,Stake Land,98.0,"Drama,Horror,Sci-Fi",6.5,38749,sweet spot,True,4
1224,51,2014-04-18,13 Sins,4000000,9134,47552,0.011888,2014,tt2059171,13 Sins,13 Sins,93.0,"Horror,Thriller",6.3,29550,under,True,4
1232,91,2018-04-13,Truth or Dare,3500000,41411015,95127344,27.179241142857144,2018,tt2125681,Truth or Dare,Truth or Dare,85.0,"Horror,Romance,Thriller",6.0,14,under,True,4
1233,94,2016-02-19,The Witch,3500000,25138705,40454520,11.558434285714286,2016,tt4263482,The Witch,The VVitch: A New-England Folktale,92.0,"Horror,Mystery",6.8,154278,under,True,2
1235,97,2013-02-22,Dark Skies,3500000,17418667,27704111,7.9154602857142855,2013,tt2387433,Dark Skies,Dark Skies,97.0,"Horror,Sci-Fi,Thriller",6.3,65754,sweet spot,True,2
1252,63,2013-04-12,Antiviral,3100000,0,123407,0.039808709677419354,2013,tt2099556,Antiviral,Antiviral,108.0,"Horror,Sci-Fi,Thriller",5.7,11025,sweet spot,True,4
1254,67,2013-06-07,The Purge,3000000,64473115,91266581,30.422193666666665,2013,tt2184339,The Purge,The Purge,85.0,"Horror,Thriller",5.7,183549,under,True,6
1255,69,2012-10-12,Sinister,3000000,48086903,87727807,29.242602333333334,2012,tt1922777,Sinister,Sinister,110.0,"Horror,Mystery,Thriller",6.8,198345,sweet spot,True,10
1262,28,2014-09-19,Tusk,3000000,1821983,1887554,0.6291846666666666,2014,tt3099498,Tusk,Tusk,102.0,"Comedy,Drama,Horror",5.3,40827,sweet spot,True,9
1265,33,2011-05-06,Hobo with a Shotgun,3000000,703372,834953,0.2783176666666667,2011,tt1640459,Hobo with a Shotgun,Hobo with a Shotgun,86.0,"Action,Comedy,Horror",6.1,41633,under,True,5
1268,38,2011-09-09,Creature,3000000,331000,331000,0.11033333333333334,2011,tt1686018,Creature,Creature,93.0,Horror,3.7,2723,under,True,9
1273,53,2012-01-13,The Divide,3000000,18000,156362,0.05212066666666667,2012,tt1535616,The Divide,The Divide,112.0,"Drama,Horror,Sci-Fi",5.8,33603,sweet spot,True,1
1274,56,2017-10-10,Demonic,3000000,0,4668109,1.5560363333333334,2017,tt1841642,Demonic,Demonic,83.0,"Horror,Thriller",5.3,12025,under,True,10
1279,68,2015-03-17,Something Wicked,3000000,0,0,0.0,2015,tt1327601,Something Wicked,Something Wicked,95.0,"Drama,Horror,Mystery",4.8,1243,sweet spot,True,3
1280,72,2015-08-14,Amnesiac,3000000,0,0,0.0,2015,tt2693114,Amnesiac,Amnesiac,90.0,"Drama,Horror,Thriller",2.3,104,under,True,8
1281,73,2015-12-31,Unnatural,3000000,0,0,0.0,2015,tt3551400,Unnatural,Unnatural,89.0,"Action,Horror,Sci-Fi",4.0,1590,under,True,12
1285,95,2015-12-31,Sardaar Ji,2700000,0,8200000,3.037037037037037,2015,tt4080386,Sardaar Ji,Sardaar Ji,141.0,"Comedy,Fantasy,Horror",6.5,1182,over,True,12
1295,44,2013-06-21,Alien Uprising,2500000,0,0,0.0,2013,tt2040578,Alien Uprising,U.F.O.,101.0,"Comedy,Horror,Sci-Fi",3.2,3166,sweet spot,True,6
1298,49,2016-09-02,Antibirth,2500000,0,0,0.0,2016,tt3333870,Antibirth,Antibirth,94.0,Horror,4.9,2759,sweet spot,True,9
1306,83,2012-12-31,Infected,2100000,0,0,0.0,2012,tt1622991,Infected,Infected,95.0,"Action,Horror,Sci-Fi",2.8,1028,sweet spot,True,12
1310,94,2015-03-13,It Follows,2000000,14674077,23250755,11.6253775,2015,tt3235888,It Follows,It Follows,100.0,"Horror,Mystery",6.9,182839,sweet spot,True,3
1312,97,2012-03-09,Silent House,2000000,12739737,16610760,8.30538,2012,tt1767382,Silent House,Silent House,86.0,"Drama,Horror,Mystery",5.3,20831,under,True,3
1324,41,2014-11-28,The Babadook,2000000,950792,7482387,3.7411935,2014,tt2321549,The Babadook,The Babadook,94.0,"Drama,Horror",6.8,171411,sweet spot,True,11
1332,76,2011-09-09,Grave Encounters,2000000,0,2151887,1.0759435,2011,tt1703199,Grave Encounters,Grave Encounters,92.0,Horror,6.1,48125,under,True,9
1333,77,2015-10-23,Bone Tomahawk,2000000,0,475846,0.237923,2015,tt2494362,Bone Tomahawk,Bone Tomahawk,132.0,"Adventure,Drama,Horror",7.1,70298,over,True,10
1334,79,2013-04-01,Stitches,2000000,0,63555,0.0317775,2013,tt1623771,Stitches,Stitches,71.0,Horror,7.2,20,under,True,4
1340,96,2015-03-20,The Walking Deceased,2000000,0,0,0.0,2015,tt3499458,The Walking Deceased,Walking with the Dead,88.0,"Comedy,Horror",3.5,2914,under,True,3
1342,98,2015-08-21,The Curse of Downers Grove,2000000,0,0,0.0,2015,tt1772261,The Curse of Downers Grove,The Curse of Downers Grove,89.0,"Drama,Horror,Mystery",4.5,1618,under,True,8
1343,99,2015-12-31,Wind Walkers,2000000,0,0,0.0,2015,tt1236254,Wind Walkers,Wind Walkers,93.0,"Action,Horror,Thriller",3.8,234,under,True,12
1349,13,2013-07-26,Stranded,1900000,0,285593,0.15031210526315789,2013,tt1372689,Stranded,Djinns,103.0,"Horror,Mystery",5.1,800,sweet spot,True,7
1355,38,2019-04-23,Living Dark: The Story of Ted the Caver,1750000,0,0,0.0,2019,tt2100573,Living Dark: The Story of Ted the Caver,Living Dark: The Story of Ted the Caver,112.0,Horror,5.3,349,sweet spot,True,4
1358,48,2019-02-01,Braid,1660000,0,80745,0.04864156626506024,2019,tt4638148,Braid,Braid,82.0,"Horror,Mystery,Thriller",5.3,1115,under,True,2
1360,63,2011-04-01,Insidious,1500000,54009150,99870886,66.58059066666667,2011,tt1591095,Insidious,Insidious,103.0,"Horror,Mystery,Thriller",6.9,254197,sweet spot,True,4
1362,70,2018-03-23,Unsane,1500000,7690044,14244931,9.496620666666667,2018,tt7153766,Unsane,Unsane,98.0,"Drama,Horror,Mystery",6.4,32049,sweet spot,True,3
1365,84,2013-04-19,The Lords of Salem,1500000,1165881,1541131,1.0274206666666668,2013,tt1731697,The Lords of Salem,The Lords of Salem,101.0,"Horror,Thriller",5.1,25089,sweet spot,True,4
1366,85,2016-10-21,31,1500000,779820,922727,0.6151513333333334,2016,tt3835080,31,31,102.0,"Horror,Thriller",5.1,15055,sweet spot,True,10
1367,87,2016-04-22,Unsullied,1500000,510957,510957,0.340638,2016,tt3139764,Unsullied,Unsullied,93.0,"Action,Horror,Thriller",4.3,278,under,True,4
1372,7,2014-10-17,Housebound,1500000,0,236863,0.15790866666666667,2014,tt3504048,Housebound,Housebound,107.0,"Comedy,Horror,Mystery",6.8,29757,sweet spot,True,10
1378,16,2015-11-20,#Horror,1500000,0,0,0.0,2015,tt3526286,#Horror,#Horror,101.0,"Crime,Drama,Horror",3.0,3092,sweet spot,True,11
1382,25,2013-04-05,Eddie: The Sleepwalking Cannibal,1400000,1632,1632,0.0011657142857142858,2013,tt1480658,Eddie: The Sleepwalking Cannibal,Eddie,90.0,"Comedy,Horror",5.6,1364,under,True,4
1383,28,2014-12-31,House at the End of the Drive,1400000,0,0,0.0,2014,tt0464054,House at the End of the Drive,House at the End of the Drive,91.0,"Horror,Thriller",6.5,331,under,True,12
1389,54,2016-12-31,Bodom,1250000,0,726460,0.581168,2016,tt3669462,Bodom,Bodom,65.0,"Horror,Mystery,Thriller",5.6,308,under,True,12
1393,77,2018-02-06,Blood Feast,1200000,8708,8708,0.0072566666666666665,2018,tt4847546,Blood Feast,Blood Feast,90.0,Horror,4.9,653,under,True,2
1395,84,2012-09-07,Crowsnest,1200000,0,0,0.0,2012,tt2180333,Crowsnest,Crowsnest,84.0,"Horror,Mystery,Thriller",3.9,1481,under,True,9
1396,85,2012-09-14,Airborne,1200000,0,0,0.0,2012,tt1827354,Airborne,Airborne,81.0,"Comedy,Crime,Horror",3.9,2248,under,True,9
1397,87,2015-02-03,Bleeding Hearts,1200000,0,0,0.0,2015,tt2622294,Bleeding Hearts,Bleeding Hearts,100.0,Horror,3.4,123,sweet spot,True,2
1398,88,2013-12-31,The Wicked Within,1200000,0,0,0.0,2013,tt1943014,The Wicked Within,The Wicked Within,84.0,Horror,4.5,1123,under,True,12
1399,100,2012-05-18,Beyond the Black Rainbow,1100000,56491,56491,0.051355454545454544,2012,tt1534085,Beyond the Black Rainbow,Beyond the Black Rainbow,110.0,"Horror,Sci-Fi,Thriller",6.0,10765,sweet spot,True,5
1402,8,2013-12-31,The Vatican Exorcisms,1100000,0,0,0.0,2013,tt3043194,The Vatican Exorcisms,The Vatican Exorcisms,76.0,Horror,2.5,413,under,True,12
1403,12,2012-01-06,The Devil Inside,1000000,53262945,101759490,101.75949,2012,tt1560985,The Devil Inside,The Devil Inside,83.0,Horror,4.2,33522,under,True,1
1404,14,2015-04-17,Unfriended,1000000,32789645,64364198,64.364198,2015,tt3713166,Unfriended,Unfriended,83.0,"Horror,Mystery,Thriller",5.6,62043,under,True,4
1405,17,2013-08-23,You're Next,1000000,18494006,26887177,26.887177,2013,tt1853739,You're Next,You're Next,95.0,"Action,Comedy,Horror",6.6,79451,sweet spot,True,8
1406,18,2012-05-25,Chernobyl Diaries,1000000,18119640,42411721,42.411721,2012,tt1991245,Chernobyl Diaries,Chernobyl Diaries,86.0,"Horror,Mystery,Thriller",5.0,60304,under,True,5
1407,29,2018-07-20,Unfriended: Dark Web,1000000,8866745,16434588,16.434588,2018,tt4761916,Unfriended: Dark Web,Unfriended: Dark Web,92.0,"Crime,Horror,Mystery",5.9,13822,under,True,7
1408,31,2015-09-25,The Green Inferno,1000000,7192291,12931420,12.93142,2015,tt2403021,The Green Inferno,The Green Inferno,100.0,"Adventure,Horror",5.3,33239,sweet spot,True,9
1422,74,2016-04-08,The Invitation,1000000,231738,354836,0.354836,2016,tt2400463,The Invitation,The Invitation,100.0,"Drama,Horror,Mystery",6.7,70213,sweet spot,True,4
1432,11,2012-03-20,Snow White: A Deadly Summer,1000000,0,0,0.0,2012,tt2149137,Snow White: A Deadly Summer,Snow White: A Deadly Summer,83.0,Horror,2.2,679,under,True,3
1433,12,2012-10-09,Truth or Die,1000000,0,0,0.0,2012,tt1838722,Truth or Die,Truth or Dare,96.0,"Horror,Mystery",5.6,8123,sweet spot,True,10
1434,13,2013-05-14,Black Rock,1000000,0,0,0.0,2013,tt1930294,Black Rock,Black Rock,83.0,"Horror,Thriller",4.8,7596,under,True,5
1437,16,2013-10-08,Zombie Hunter,1000000,0,0,0.0,2013,tt2446502,Zombie Hunter,Zombie Hunter,93.0,"Action,Comedy,Horror",3.5,2372,under,True,10
1440,19,2015-02-10,Fear Clinic,1000000,0,0,0.0,2015,tt2165765,Fear Clinic,Fear Clinic,95.0,Horror,5.0,6256,sweet spot,True,2
1446,30,2014-01-10,Banshee Chapter,950000,0,78122,0.08223368421052632,2014,tt2011276,Banshee Chapter,Banshee Chapter,87.0,"Horror,Sci-Fi,Thriller",5.5,8219,under,True,1
1453,39,2016-04-01,Meet the Blacks,900000,9097072,9097072,10.107857777777777,2016,tt4191580,Meet the Blacks,Meet the Blacks,94.0,"Comedy,Horror",5.9,34669,sweet spot,True,4
1459,70,2012-02-03,Kill List,800000,29063,462206,0.5777575,2012,tt1788391,Kill List,Kill List,95.0,"Crime,Drama,Horror",6.4,32807,sweet spot,True,2
1463,78,2012-02-03,The Innkeepers,750000,78396,1011535,1.3487133333333334,2012,tt1594562,The Innkeepers,The Innkeepers,101.0,"Drama,Horror,Mystery",5.5,31089,sweet spot,True,2
1468,100,2013-10-11,Escape from Tomorrow,650000,171962,171962,0.2645569230769231,2013,tt2187884,Escape from Tomorrow,Escape from Tomorrow,90.0,"Drama,Fantasy,Horror",5.2,8665,under,True,10
1486,55,2011-04-01,Rubber,500000,100370,680914,1.361828,2011,tt1612774,Rubber,Rubber,82.0,"Comedy,Fantasy,Horror",5.8,31316,under,True,4
1491,74,2012-07-17,Girls Gone Dead,500000,0,0,0.0,2012,tt1884318,Girls Gone Dead,Girls Gone Dead,104.0,"Comedy,Horror",3.5,2230,sweet spot,True,7
1493,78,2015-03-10,Subconscious,500000,0,0,0.0,2015,tt1764615,Subconscious,Subconscious,72.0,Horror,4.5,172,under,True,3
1494,79,2015-04-14,Roadside,500000,0,0,0.0,2015,tt1958007,Roadside,Roadside,90.0,"Drama,Horror,Mystery",3.8,361,under,True,4
1496,81,2015-02-10,Love in the Time of Monsters,500000,0,0,0.0,2015,tt2403415,Love in the Time of Monsters,Love in the Time of Monsters,97.0,"Comedy,Horror",5.5,183,sweet spot,True,2
1500,87,2015-08-11,Alleluia! The Devil's Carnival,500000,0,0,0.0,2015,tt3892618,Alleluia! The Devil's Carnival,Alleluia! The Devil's Carnival,97.0,"Horror,Musical",6.9,534,sweet spot,True,8
1513,63,2015-03-10,Teeth and Blood,300000,0,0,0.0,2015,tt1991199,Teeth and Blood,Teeth and Blood,96.0,"Action,Horror",4.0,34,sweet spot,True,3
1533,39,2014-08-26,Sanctuary; Quite a Conundrum,200000,0,0,0.0,2014,tt2049518,Sanctuary; Quite a Conundrum,Sanctuary; Quite a Conundrum,82.0,"Comedy,Horror,Thriller",5.4,150,under,True,8
1544,62,2013-12-31,Speak No Evil,150000,0,32927,0.21951333333333334,2013,tt2503358,Speak No Evil,Speak No Evil,74.0,Horror,3.6,534,under,True,12
1559,98,2015-11-10,The Night Visitor,100000,0,0,0.0,2015,tt2797642,The Night Visitor,The Night Visitor,91.0,"Horror,Sci-Fi,Thriller",4.8,95,under,True,11
1564,6,2011-12-31,Absentia,70000,0,8555,0.12221428571428572,2011,tt1610996,Absentia,Absentia,87.0,"Drama,Horror,Mystery",5.8,15507,under,True,12
1567,13,2012-12-31,Hayride,60000,0,0,0.0,2012,tt1861343,Hayride,Hayride,93.0,"Crime,Drama,Horror",3.4,622,under,True,12
1575,32,2011-02-11,Raymond Did It,40000,3632,3632,0.0908,2011,tt1716760,Raymond Did It,Raymond Did It,83.0,Horror,3.3,211,under,True,2
1577,35,2013-10-25,Her Cry: La Llorona Investigation,35000,0,0,0.0,2013,tt2469216,Her Cry: La Llorona Investigation,Her Cry: La Llorona Investigation,89.0,Horror,3.7,70,under,True,10
1581,49,2015-09-01,Exeter,25000,0,489792,19.59168,2015,tt1945044,Exeter,Exeter,91.0,"Horror,Mystery,Thriller",4.5,5156,under,True,9
1586,59,2011-11-25,The Ridges,17300,0,0,0.0,2011,tt1781935,The Ridges,The Ridges,89.0,"Drama,Horror,Thriller",2.9,127,under,True,11
1589,78,2018-12-31,Red 11,7000,0,0,0.0,2018,tt7837402,Red 11,Red 11,77.0,"Horror,Sci-Fi,Thriller",5.6,43,under,True,12
1590,81,2015-09-29,A Plague So Pleasant,1400,0,0,0.0,2015,tt2107644,A Plague So Pleasant,A Plague So Pleasant,76.0,"Drama,Horror,Thriller",5.4,72,under,True,9
